epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,329.152,2.17397,1.77195,1.4131,0.71748,0.19571,0.20611,0.09138,1.98948,1.22209,1.25195,0.00333287,0.00333287,0.00333287
2,673.944,2.02667,1.34719,1.32256,0.71559,0.20694,0.21684,0.09723,1.93428,1.18763,1.23866,0.00651955,0.00651955,0.00651955
3,1015.93,2.02847,1.32336,1.31883,0.71307,0.21293,0.22521,0.10265,1.9261,1.16873,1.24495,0.00955956,0.00955956,0.00955956
4,1362.11,2.01506,1.30832,1.31534,0.71227,0.21184,0.22537,0.10413,1.90133,1.12415,1.21492,0.00934,0.00934,0.00934
5,1704.81,1.96111,1.25742,1.2921,0.72379,0.22456,0.24418,0.11441,1.87661,1.10272,1.20336,0.00912,0.00912,0.00912
6,2036.64,1.91416,1.21497,1.27302,0.73721,0.22712,0.26008,0.12413,1.83121,1.0615,1.19473,0.0089,0.0089,0.0089
7,2381.27,1.89268,1.19511,1.26,0.7395,0.23549,0.26275,0.12387,1.81617,1.04609,1.18186,0.00868,0.00868,0.00868
8,2720.66,1.87294,1.1699,1.24874,0.41145,0.26289,0.26605,0.12658,1.79515,1.03498,1.1849,0.00846,0.00846,0.00846
9,3059.17,1.84794,1.1543,1.24251,0.43217,0.27419,0.2771,0.13471,1.77263,1.01629,1.17241,0.00824,0.00824,0.00824
10,3398.43,1.83453,1.14165,1.23531,0.7569,0.24012,0.27271,0.1322,1.76442,1.00068,1.16794,0.00802,0.00802,0.00802
11,3746.22,1.82351,1.12992,1.22744,0.75785,0.24228,0.27385,0.13327,1.74495,0.99255,1.16328,0.0078,0.0078,0.0078
12,4096.84,1.80589,1.11172,1.22506,0.7351,0.25328,0.27534,0.13508,1.73805,0.98916,1.15403,0.00758,0.00758,0.00758
13,4439.77,1.79271,1.1009,1.22009,0.75895,0.24252,0.27427,0.1355,1.73972,0.97973,1.15219,0.00736,0.00736,0.00736
14,4780.08,1.78356,1.09042,1.2122,0.39702,0.25886,0.27657,0.13521,1.73312,0.97828,1.14959,0.00714,0.00714,0.00714
15,5134.94,1.77818,1.08684,1.21005,0.4237,0.26524,0.27826,0.13708,1.72508,0.97361,1.14509,0.00692,0.00692,0.00692
16,5488.14,1.76866,1.08737,1.20802,0.76363,0.24954,0.28789,0.14185,1.7129,0.96295,1.14308,0.0067,0.0067,0.0067
17,5834.09,1.75833,1.07012,1.20192,0.39295,0.26994,0.28665,0.1417,1.70717,0.95221,1.1414,0.00648,0.00648,0.00648
18,6182.17,1.75002,1.06498,1.19967,0.43803,0.2497,0.28541,0.14252,1.70127,0.94925,1.14096,0.00626,0.00626,0.00626
19,6527.26,1.74763,1.05934,1.19682,0.77194,0.2515,0.29258,0.14416,1.70033,0.94341,1.13733,0.00604,0.00604,0.00604
20,6876.44,1.73876,1.05849,1.19286,0.41799,0.29074,0.29723,0.14684,1.68727,0.94318,1.13327,0.00582,0.00582,0.00582
21,7228.79,1.72589,1.04457,1.18957,0.7732,0.25453,0.29186,0.14616,1.68187,0.93561,1.12829,0.0056,0.0056,0.0056
22,7579.64,1.72229,1.04292,1.1842,0.38591,0.29431,0.2957,0.14852,1.67588,0.93383,1.12615,0.00538,0.00538,0.00538
23,7929.51,1.71843,1.03825,1.18465,0.42279,0.26187,0.29011,0.14662,1.67234,0.9321,1.12234,0.00516,0.00516,0.00516
24,8282.06,1.70867,1.03607,1.1819,0.42201,0.26425,0.29372,0.14805,1.67137,0.92631,1.12256,0.00494,0.00494,0.00494
25,8633.8,1.70777,1.02865,1.17912,0.40729,0.27212,0.29609,0.14972,1.66771,0.91832,1.11993,0.00472,0.00472,0.00472
26,8985.96,1.68787,1.02093,1.17475,0.44493,0.25642,0.29751,0.14998,1.65689,0.91764,1.11706,0.0045,0.0045,0.0045
27,9330.22,1.68808,1.01963,1.17498,0.44059,0.25858,0.29676,0.15074,1.65397,0.91738,1.11682,0.00428,0.00428,0.00428
28,9672.95,1.6798,1.01271,1.16976,0.44663,0.25831,0.29967,0.15147,1.6554,0.91447,1.11575,0.00406,0.00406,0.00406
29,10020.7,1.68239,1.01129,1.17062,0.44683,0.25616,0.2979,0.15087,1.64998,0.91197,1.11635,0.00384,0.00384,0.00384
30,10368.8,1.67339,1.00674,1.16607,0.42883,0.26696,0.30055,0.15236,1.64595,0.91087,1.11209,0.00362,0.00362,0.00362
31,10705.4,1.66555,1.00787,1.16441,0.44543,0.26003,0.29926,0.15189,1.64242,0.91053,1.11092,0.0034,0.0034,0.0034
32,11048.8,1.66545,0.99571,1.15965,0.44721,0.26011,0.30028,0.15286,1.64429,0.90782,1.10875,0.00318,0.00318,0.00318
33,11392,1.66153,0.99872,1.16027,0.44818,0.25868,0.29962,0.15332,1.63845,0.90376,1.10854,0.00296,0.00296,0.00296
34,11738.9,1.65898,1.00899,1.15931,0.45004,0.25993,0.30216,0.1543,1.63792,0.90292,1.10755,0.00274,0.00274,0.00274
35,12082.8,1.65401,0.9854,1.15398,0.44971,0.25976,0.30299,0.1546,1.63458,0.90115,1.10569,0.00252,0.00252,0.00252
36,12430.4,1.64233,0.97913,1.13499,0.42094,0.28022,0.29999,0.1527,1.64347,0.90916,1.10846,0.0023,0.0023,0.0023
37,12778.8,1.62558,0.96145,1.13144,0.40346,0.27677,0.29836,0.15214,1.64392,0.90651,1.10871,0.00208,0.00208,0.00208
38,13117.8,1.61982,0.94996,1.12678,0.44291,0.27638,0.30009,0.15257,1.64416,0.90439,1.1082,0.00186,0.00186,0.00186
39,13464.6,1.61242,0.94963,1.12498,0.42119,0.26756,0.29844,0.15245,1.64433,0.90573,1.10749,0.00164,0.00164,0.00164
40,13805.4,1.61113,0.94551,1.12174,0.44593,0.25798,0.29812,0.15261,1.64353,0.90504,1.10698,0.00142,0.00142,0.00142
41,14150.9,1.5979,0.93319,1.11788,0.44302,0.25873,0.29851,0.15237,1.64236,0.90561,1.10647,0.0012,0.0012,0.0012
42,14497.3,1.5892,0.92911,1.11492,0.44542,0.25862,0.29876,0.15286,1.64006,0.90344,1.10564,0.00098,0.00098,0.00098
43,14843,1.58345,0.9301,1.11151,0.44421,0.25816,0.29829,0.15257,1.63949,0.90316,1.10536,0.00076,0.00076,0.00076
44,15189.6,1.57938,0.92493,1.11063,0.44274,0.25908,0.29779,0.15239,1.63963,0.90258,1.10474,0.00054,0.00054,0.00054
45,15535.1,1.57675,0.91033,1.10851,0.44291,0.2587,0.29814,0.15241,1.64005,0.90263,1.10427,0.00032,0.00032,0.00032
